EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
2728, 90, 88, 342, 16.2150511923582, 155, 4574, Accidental, 1, 1, 37, 67, 5.6247976944, 1.12242865037266, 294.7359182, NaN, 16.22, NaN, 800.525599263266, 672.660015070678, 0.214384317398071, 0.190909527697251, 1311, 287, 19798, 
2729, 90, 751, 91, 22.4623495124443, 162, 10459, Accidental, 1, 1, 32, 71, 17.2821750012, 17.4092646556262, 357.980002, NaN, 22.46, NaN, 778.472716465808, 557.028077246127, 0.300000011920929, 0.160833338348261, 433, 383, 10413, 
2730, 90, 326, 915, 31.5984325429438, 171, 10871, Lightning, 1, 1, 20, 24, 9.4211757324, 9.34038569935101, 320.6095468, NaN, 31.6, NaN, 882.861470945152, 751.41611994455, 0.214384317398071, 0.0637824330972408, 213, 341, 3167, 
2731, 90, 904, 858, 26.6564286429044, 177, 8313, Lightning, 1, 1, 12, 25, 5.4269966448, 4.61685598376834, 2.7035922, NaN, 26.66, NaN, 823.392399010449, 703.231058563194, 0.214384317398071, 0.101834251633968, 2945, 222, 14334, 
2732, 90, 659, 540, 32.6484028510204, 183, 9538, Accidental, 1, 1, 2, 7, 10.0445634252, 3.04383569497205, 328.1882673, NaN, 32.65, NaN, 915.461078889648, 785.469981166491, 0.214384317398071, 0.0871378851950464, 0, 362, 6840, 
2733, 90, 321, 1031, 38.1291335578676, 197, 13478, Lightning, 1, 1, 18, 44, 10.95620859, 12.5751234653039, 311.3789145, NaN, 38.13, NaN, 839.767813399476, 711.159508841733, 0.214384317398071, 0.122895300127362, 1332, 259, 8332, 
2734, 90, 988, 891, 31.650943269324, 220, 11486, Lightning, 1, 1, 15, 32, 6.533065314, 11.6805454478673, 343.5715768, NaN, 31.65, NaN, 813.420789176648, 686.278236167614, 0.214384317398071, 0.115218333750785, 2960, 210, 5337, 
2735, 90, 912, 928, 20.1108545560053, 236, 8455, Lightning, 1, 1, 12, 24, 8.241673248, 12.0987680105565, 78.1589055, NaN, 20.11, NaN, 738.824809860941, 638.142052637655, 0.214384317398071, 0.0924970878462151, 9247, 115, 4428, 
2736, 90, 282, 411, 26.2461430717251, 239, 9744, Lightning, 1, 1, 32, 42, 9.953200044, 10.6212303699734, 310.6991093, NaN, 26.25, NaN, 765.823247260939, 580.157685252559, 0.214384317398071, 0.0985335551193059, 0, 483, 19158, 
2737, 90, 1147, 912, 56.5435593093316, 252, 11549, Accidental, 2, 7884, 28831, 90715, 12.3348835726245, 13.7945402031609, 313.613279688133, 1.36369402511734, 56.11, 0.791106010236268, 1141.84503007302, 1010.81573161613, 0.211719469211236, 0.050459790027917, 816.896118721461, 234.38, 31310169, 
2738, 90, 1229, 839, 38.8473251370451, 263, 13079, Lightning, 1, 1, 4, 22, 8.9373104676, 10.261606950176, 327.7664798, NaN, 38.85, NaN, 1066.74869792182, 936.506742806235, 0.214384317398071, 0.103407221862317, 5167, 143, 2230, 
2739, 90, 256, 829, 24.0444405282348, 277, 7696, Lightning, 1, 1, 30, 50, 1.8462765672, 4.98337673327032, 227.55866398, NaN, 24.04, NaN, 731.850117392482, 601.246419074295, 0.214384317398071, 0.149684209171286, 3434, 218, 14411, 
2740, 90, 570, 724, 32.4539077862757, 279, 12559, Lightning, 1, 1, 2, 3, 12.36163509, 15.0053458631084, 10.9225469, NaN, 32.45, NaN, 831.815530637415, 722.898976998471, 0.214384317398071, 0.0419477698707427, 3, 339, 43, 
2741, 90, 612, 496, 55.0000930609205, 299, 14293, Lightning, 3, 15946, 41375, 121436, 19.9309425651576, 20.8332432902801, 77.5336682026277, 0.934713076199436, 54.65, 0.787241172470429, 932.580149684811, 781.611080283866, 0.218296867910112, 0.0480873217099901, 200.020067728584, 304.48, 44150892, 
2742, 90, 915, 674, 27.2151711034467, 302, 9218, Accidental, 1, 1, 21, 36, 1.8402695244, 7.54741105108098, 101.5993771, NaN, 27.22, NaN, 701.6816525264, 670.983069288209, 0.150000005960464, 0.1014681182471, 0, 330, 13420, 
2743, 90, 288, 917, 47.7341046745554, 303, 13742, Lightning, 4, 20094, 351386, 609070, 12.2582466738538, 13.5767475246726, 89.6413612154718, 5.24600607176629, 49.53, 0.709504640876438, 833.60895427848, 692.411080385546, 0.215956761058918, 0.0923151107418177, 1726.23345277197, 284.22, 122478495, 
2744, 90, 477, 399, 46.1908220552694, 304, 15334, Lightning, 2, 7076, 108722, 191997, 14.4898733107443, 15.0305751480373, 70.569358315126, 2.43985865724382, 51.52, 0.734316449999082, 872.234490738226, 711.053107830408, 0.231128202025805, 0.0843831021687159, 383.604720180893, 336.97, 48456473, 
2745, 90, 547, 416, 8.3223518548117, 330, 7410, Lightning, 1, 1, 3, 13, 20.0321196228, 20.5072687195252, 234.40204602, NaN, 8.32, NaN, 965.906156323885, 834.069602975949, 0.214384317398071, 0.0663125146316652, 0, 280, 4306, 
2746, 91, 1202, 667, 9.06754030509111, 16, 3995, Lightning, 1, 1, 16, 29, 5.4592582464, 6.43092619840313, 152.573184, NaN, 9.07, NaN, 878.835612180386, 737.708618889473, 0.449999988079071, 0.0885847944726342, 0, 366, 12266, 
2747, 91, 1016, 676, 5.91317825921549, 23, 2983, Lightning, 1, 1, 14, 24, 7.1524392948, 5.83270185362649, 346.6265791, NaN, 5.91, NaN, 685.987985067662, 604.969453529384, 0.214384317398071, 0.0711627744599837, 749, 350, 1825, 
