Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1988, eco50, 23, 88.78, 10.91, 121, 291, 0, 
1979, eco51, 24, 127.22, 11.35, 77, 291, 0, 
1980, eco51, 24, 99.93, 11.56, 92, 291, 0, 
1981, eco51, 24, 158.3, 12.07, 76, 274, 0, 
1982, eco51, 24, 137.72, 10.33, 110, 291, 0, 
1983, eco51, 24, 224.47, 10.97, 108, 292, 0, 
1984, eco51, 24, 90.59, 11.13, 69, 273, 0, 
1985, eco51, 24, 63.24, 11.25, 91, 275, 0, 
1986, eco51, 24, 125.28, 12.05, 41, 292, 0, 
1987, eco51, 24, 99.45, 12, 83, 295, 0, 
1988, eco51, 24, 91.5, 12, 88, 292, 0, 
1979, eco52, 25, 178.95, 12.01, 62, 291, 0, 
1980, eco52, 25, 157.96, 12.19, 85, 296, 0, 
1981, eco52, 25, 231.53, 12.69, 57, 279, 0, 
1982, eco52, 25, 198.92, 10.97, 106, 291, 0, 
1983, eco52, 25, 333.38, 11.55, 26, 296, 0, 
1984, eco52, 25, 126.49, 11.73, 62, 282, 0, 
1985, eco52, 25, 87.32, 11.87, 87, 280, 0, 
1986, eco52, 25, 181.85, 12.8, 31, 299, 0, 
1987, eco52, 25, 147.05, 12.63, 75, 300, 0, 
1988, eco52, 25, 130.32, 12.59, 82, 294, 0, 
1979, eco53, 26, 210.6, 13.47, 67, 292, 0, 
1980, eco53, 26, 190.01, 13.54, 87, 297, 0, 
1981, eco53, 26, 272.56, 14.1, 63, 288, 0, 
1982, eco53, 26, 240.33, 12.51, 105, 291, 0, 
1983, eco53, 26, 402.04, 13.1, 105, 296, 0, 
1984, eco53, 26, 154.22, 13.23, 63, 281, 0, 
1985, eco53, 26, 101.33, 13.24, 89, 285, 0, 
1986, eco53, 26, 217.94, 14.14, 32, 301, 0, 
1987, eco53, 26, 178.33, 14.25, 76, 301, 0, 
1988, eco53, 26, 152.51, 14.14, 82, 296, 0, 
1979, eco54, 27, 194.22, 14.12, 0, 304, 0, 
1980, eco54, 27, 162.17, 14.35, 0, 312, 0, 
1981, eco54, 27, 253.36, 14.87, 0, 365, 0, 
1982, eco54, 27, 233.25, 13.09, 0, 302, 0, 
1983, eco54, 27, 367.15, 13.71, 0, 314, 0, 
1984, eco54, 27, 153.96, 13.98, 24, 319, 0, 
1985, eco54, 27, 88.28, 13.97, 0, 291, 0, 
1986, eco54, 27, 201.91, 14.93, 0, 316, 0, 
1987, eco54, 27, 169.04, 14.89, 0, 312, 0, 
1988, eco54, 27, 140.29, 14.87, 0, 310, 0, 
1979, eco60, 28, 139.67, 12.88, 51, 298, 0, 
1980, eco60, 28, 115.78, 12.95, 81, 299, 0, 
1981, eco60, 28, 159.21, 13.42, 0, 284, 0, 
1982, eco60, 28, 161.72, 11.87, 108, 293, 0, 
1983, eco60, 28, 251.53, 12.5, 0, 310, 0, 
1984, eco60, 28, 136.15, 12.52, 50, 305, 0, 
1985, eco60, 28, 68.78, 12.62, 87, 290, 0, 
1986, eco60, 28, 145.05, 13.59, 17, 301, 0, 
1987, eco60, 28, 130.27, 13.48, 61, 305, 0, 
1988, eco60, 28, 109.44, 13.35, 84, 308, 0, 
1979, eco61, 29, 157.96, 12.07, 109, 291, 0, 
1980, eco61, 29, 130.39, 12.15, 109, 291, 0, 
1981, eco61, 29, 178.8, 12.6, 101, 281, 0, 
1982, eco61, 29, 184.3, 10.91, 123, 291, 0, 
1983, eco61, 29, 281.32, 11.63, 116, 295, 0, 
1984, eco61, 29, 159.56, 11.73, 115, 287, 0, 
1985, eco61, 29, 77.76, 11.77, 107, 282, 0, 
1986, eco61, 29, 166.19, 12.72, 114, 291, 0, 
1987, eco61, 29, 148, 12.53, 108, 292, 0, 
1988, eco61, 29, 125.62, 12.55, 106, 292, 0, 
1979, eco62, 30, 140.86, 10.28, 116, 291, 0, 
1980, eco62, 30, 117.77, 10.39, 119, 291, 0, 
1981, eco62, 30, 161.81, 10.85, 112, 276, 0, 
1982, eco62, 30, 166.51, 9.2, 129, 291, 0, 
1983, eco62, 30, 245.16, 9.84, 122, 291, 0, 
1984, eco62, 30, 130.31, 9.92, 121, 281, 0, 
1985, eco62, 30, 74.13, 9.99, 121, 276, 0, 
1986, eco62, 30, 147.03, 10.97, 120, 291, 0, 
1987, eco62, 30, 124.46, 10.75, 114, 291, 0, 
1988, eco62, 30, 108.94, 10.71, 120, 291, 0, 
1979, eco63, 31, 144.13, 9.14, 126, 291, 0, 
1980, eco63, 31, 122.47, 9.24, 132, 284, 0, 
1981, eco63, 31, 164.62, 9.8, 121, 266, 0, 
1982, eco63, 31, 168.74, 8.1, 134, 274, 0, 
1983, eco63, 31, 254.26, 8.76, 128, 286, 0, 
1984, eco63, 31, 119.49, 8.78, 127, 268, 0, 
1985, eco63, 31, 78.29, 8.74, 0, 266, 0, 
1986, eco63, 31, 152.59, 9.51, 129, 245, 0, 
1987, eco63, 31, 122.08, 9.55, 121, 291, 0, 
1988, eco63, 31, 103.98, 9.47, 0, 291, 0, 
1979, eco64, 32, 175.98, 8.29, 130, 278, 0, 
1980, eco64, 32, 145.99, 8.36, 0, 277, 0, 
1981, eco64, 32, 209.58, 9, 128, 261, 0, 
1982, eco64, 32, 191.14, 7.35, 0, 266, 0, 
1983, eco64, 32, 318.34, 7.91, 129, 273, 0, 
1984, eco64, 32, 127.92, 7.94, 129, 260, 0, 
1985, eco64, 32, 87.14, 7.98, 0, 263, 0, 
1986, eco64, 32, 181.08, 8.78, 132, 240, 0, 
1987, eco64, 32, 141.66, 8.81, 122, 291, 0, 
1988, eco64, 32, 113.12, 8.69, 0, 291, 0, 
